graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","10","685231.8","7605349.6","4.5704","0","0.0000015745419999999998","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","10","685231.8","7605349.6","20.6988","64","0.0000010019519999999998","pagerankMonolithic [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","10","685231.8","7605349.6","3.0699999999999994","9.4","0.0000035847599999999997","pagerankMonolithic [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","10","685231.8","7605349.6","19.952800000000003","64","0.0000010019519999999998","pagerankLevelwise [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","10","685231.8","7605349.6","3.6132000000000004","7.6","0.0000027851800000000003","pagerankLevelwise [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","50","685240.2","7605395.4","16.6574","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","50","685240.2","7605395.4","5.8506","0","0.0000017240399999999998","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","50","685240.2","7605395.4","20.8266","64","9.971980000000001e-7","pagerankMonolithic [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","50","685240.2","7605395.4","4.7856","14.8","0.000004809460000000001","pagerankMonolithic [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","50","685240.2","7605395.4","19.9054","64","9.971980000000001e-7","pagerankLevelwise [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","50","685240.2","7605395.4","5.1362000000000005","11.4","0.0000038346600000000005","pagerankLevelwise [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","100","685245.2","7605446.2","16.1218","0","0","pagerankNvgraph [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","100","685245.2","7605446.2","5.7738","0","0.0000027105800000000002","pagerankNvgraph [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","100","685245.2","7605446.2","20.4276","64","9.91426e-7","pagerankMonolithic [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","100","685245.2","7605446.2","6.1137999999999995","19","0.00000511192","pagerankMonolithic [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","100","685245.2","7605446.2","21.1616","64","9.91426e-7","pagerankLevelwise [static]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","100","685245.2","7605446.2","6.2764","14.8","0.0000040379200000000005","pagerankLevelwise [dynamic]"
